Content,Video title,Video publish time,Dislikes,Likes,Average percentage viewed (%),Average view duration,RPM (USD),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
iXbBNl4N1AE,So I Played The Best UU Player on Pokemon Showdown...,"Apr 6, 2022",17,1707,47.71,0:03:34,2.037,45896,2737.1945,121,536774,6.07
NdTUzzJwNWQ,This Pokemon Card Is Now Worth A LOT of Money,"Apr 24, 2023",16,1829,82.79,0:00:35,0.079,30375,300.3709,24,230399,4.39
sLzFp0kynsU,The World's First Competitive Pokemon Sim was LEGENDARY. Here's Why.,"Mar 11, 2022",16,3668,74.18,0:01:49,1.798,52618,1593.7238,354,445633,7.9
3NZY0OwEzXM,Pokemon Showdown Random Battles ARE CRAZY,"Nov 11, 2021",15,1322,91.48,0:00:30,0.19,49792,417.5561,56,331922,10.05
SRmagiD5rpM,"Vancouver Team Report, The Glimmora Story","Mar 17, 2023",15,1831,47.44,0:07:38,5.057,37373,4757.1299,38,535862,4.79
Sf8oFWrwaoM,Psywave was Unbanned in Competitive Gen 1 Pokemon. Here's Why.,"Feb 12, 2022",15,3740,82.34,0:01:33,1.692,86867,2245.0729,235,497897,11.84
aZ5cPP0tEAk,THE BASEDLORD RETURNS | Best of Smogon Champion's League,"Oct 12, 2022",15,3483,63.63,0:06:24,4.661,68837,7349.124,81,989747,4.93
lcHy7ldXbKU,ROAD TO #1 on Pokemon Showdown Random Battles,"Nov 14, 2022",15,853,19.36,0:24:53,8.363,23287,9659.2971,174,488721,2.35
k9wOgdKVSu4,Who Decides What Gets Banned in Competitive Pokemon? (Singles),"Feb 20, 2022",14,2684,79.7,0:01:58,1.675,49171,1621.9338,139,445436,7.89
Q3Kl0nILEXA,Slush Rush Is BANNED on Pokemon Showdown (NU),"Jan 17, 2022",13,1126,81.49,0:00:45,0.748,40086,508.1607,73,210468,13.15
bZXl22u-A1U,When You Use The Wrong EV Spread on Pokemon Showdown...,"Jan 12, 2022",13,844,100.37,0:00:42,0.753,26953,315.6011,26,145574,12.33
eKtmICWfaBo,So I'm Playing in a $1600 Competitive Pokemon Showdown Tournament...,"Feb 3, 2022",13,1513,52.11,0:04:39,2.166,25114,1952.0738,165,377116,4.52
9CgAA_4ooZE,"If I Lose, The Video Ends","Sep 4, 2023",12,1137,15.18,0:14:06,4.87,28797,6769.306,52,383132,4.85
IoOyVD6rfM4,So I Played in the Biggest Smogon Tournament EVER,"Apr 17, 2022",12,2184,52.34,0:06:06,3.054,45608,4641.8822,116,628283,5.32
R0VZGEpAPLw,Life Orb Recoil is Only 5% at Low Levels. Here's Why.,"Jan 26, 2022",12,2214,83.12,0:01:04,1.277,45760,813.5132,234,366117,8.24
bLIhn_boLPU,Heatran DOESN'T Use Flash Fire in Competitive BDSP Pokemon. Here's Why.,"Apr 10, 2022",12,3878,78.58,0:01:28,1.331,84850,2074.4094,83,563533,11.04
nE__HoAfI0U,Why ISN'T Magearna Banned in Competitive Gen 7 Pokemon?,"Mar 19, 2022",12,3505,86.6,0:01:17,1.709,72095,1543.5219,81,466627,10.79
8A3dPwZfn3E,2400 Elo Tryhard Laddering Almost at #1 | Pokemon Showdown Random Battles,"Nov 8, 2022",11,467,20.79,0:15:11,2.701,13962,3533.9208,42,333447,2.61
fpE934PTFF8,Level 99 Slowking Was Used in Competitive Pokemon. Here's Why.,"Feb 11, 2022",11,4689,87.6,0:01:12,1.929,102176,2063.5322,222,700948,10.51
ncLJgHheR0Y,So Smogon Banned Articuno on Pokemon Showdown...,"Dec 23, 2021",11,555,80.98,0:00:27,0.351,20623,157.7201,20,115340,12.73
wJMv6pZmGOc,How to Use Floatzel to Literally Outspeed Trick Room | Pokemon Scarlet and Violet Edition,"May 18, 2023",10,2627,87.06,0:00:46,1.593,52982,679.0553,12,458873,8.38
G_zt2C7nWmc,"Big Pokemon Youtuber Tournament w Pokeaim, Blunder, Cybertron and more!","Apr 28, 2024",7,544,9.73,0:13:44,9.359,12409,2841.9501,18,138490,5.55
PDTP8ROoJ88,2200 Elo Tryhard Laddering Almost at #1 | Road to 100k,"Nov 8, 2022",6,559,16.95,0:20:45,10.054,13855,4792.4335,89,281317,3.04
Rid28Qh5sCo,Stream Ends When We Hit #1,"Jun 22, 2024",6,200,4.99,0:11:49,3.551,6407,1262.3671,2,129777,3.24
_GyunZsWZS8,Pokemon Violet! Road to Number 1,"Dec 14, 2022",6,359,11.06,0:07:34,6.019,8216,1036.1888,24,282250,1.97
oXfM4bFVf70,Does Team Order Matter in Competitive Pokemon?,"Nov 1, 2022",6,3481,87.44,0:01:09,1.925,62653,1217.4043,36,483599,9.61
HfWm1OGAjYM,My Experience at the Charlotte Regionals 2023,"Mar 27, 2023",5,1519,68.07,0:05:34,2.998,21558,2005.4615,23,156759,9.4
5ZH4qPD1Aqc,How do Smogon Tournaments Work? Beginner's Guide,"Apr 11, 2022",4,1074,51.14,0:02:08,2.065,18737,668.0924,24,335865,4.01
O0uP87zy6Tg,Legendaries Are Allowed! VGC Laddering,"Apr 7, 2024",4,309,8.13,0:09:28,6.72,5327,840.5259,11,77265,4.26
Wd1q1e97X3Y,Trying the Champion Miraidon Team LIVE,,4,115,8.79,0:10:26,2.463,3458,601.9278,16,68583,3.27
ZY3rP6VQUTI,PU laddering and viewer battles,,4,130,6.13,0:09:17,23.999,3598,557.378,9,67420,3.33
onrgY1lkjXc,SPECS TERAPAGOS| The Legendary Pokemon Ladder is now Live!,"May 1, 2024",4,164,7.52,0:11:15,2.418,4908,920.6539,5,84981,3.63
XpG6EGAPA60,"Pokerogue, Won't End Stream Until I Beat The Game or server crashes",,3,177,6.3,0:09:48,5.026,5720,935.4832,4,80762,4.3
1RdL5fMz6LY,Pokemon Showdown Random Battles,,2,461,7.51,0:08:28,4.384,4691,662.8103,70,88846,3.64
uY2G1athgOA,High Ladder Pokemon Showdown Battles and Talking w Chat,"May 19, 2024",2,164,12.65,0:10:06,7.313,4308,726.1367,4,86028,3.24
yxOFDY2PtAk,THEY WANT TO BAN MELMETAL?! LIVE OU Laddering | Road to 100k,,2,289,10.74,0:06:41,4.041,3048,339.5305,30,54105,3.9
zd3t7S4vUlc,I Played in a Pokemon Showdown Halloween Tournament...,"Nov 1, 2022",2,229,8,0:09:48,12.025,3861,631.1119,64,114044,2.59
7LwmkP0ocLo,Pokemon Pro Plays PokeRogue for first* time | Chill Stream Talking with Chat,,1,103,7.22,0:08:42,9.596,2960,429.8488,-1,44746,4.03
86-vsSCF3nE,2200 Elo Tryhard Laddering Almost at #1 | Road to 100k,"Nov 8, 2022",1,28,18.62,0:00:39,0.954,626,6.83,1,17762,2.23
KhilP3H5NZo,Birthday Stream! Playing New Game: Pokerogue,,1,146,8.07,0:07:55,7.517,3604,475.602,5,56514,3.96
ROucSI96644,"""Chimera"" Battles and then 2400 Elo Random Battles","May 25, 2024",1,177,8.07,0:11:20,3.812,6086,1151.0527,-5,142585,2.73
TQdOQSzG578,"Pokemon But You Use EVERY Ability (Pokebilities Stream, this will be a youtube video later)",,1,120,8.25,0:08:20,12.407,4118,572.6151,7,67894,3.74
Zxl-EWGzmEI,Pokemon Run and Bun and Spamming Fissure vs VGC Ladder Tryhards,,1,178,3.7,0:05:12,26.992,3832,332.4999,16,65251,4.38
b37x7V500dE,Pokerogue,,1,132,8.47,0:10:40,3.236,4481,797.5689,14,65382,4.45
z0yGnpZ8R7M,VGC Teambuilding w Specs Miraidon,,1,100,6.36,0:07:52,9.043,2495,327.6935,7,52440,2.87
 -PLJeGij9VA,2200 Elo Tryhard Laddering Almost at #1 | Road to 100k,"Nov 8, 2022",0,26,17.81,0:00:40,1.344,697,7.898,2,17624,2.48
13zHFPL5XBM,Getting #1 in the Fastest Pokemon Metagame Ever (Collab),,0,106,6.24,0:07:25,3.813,3104,383.6737,-2,55120,3.66
7S43MvFtdsk,I'm Playing Pokemon Violet!,"Nov 18, 2022",0,72,7.83,0:02:31,31.974,1425,60.0947,8,21496,4.75
9Xxsq4CcBMQ,Using The Champion Zamazenta Team LIVE,,0,77,9.81,0:09:13,4.434,2919,448.5266,6,65965,2.75
A8ziZ-iydbo,2200 Elo Tryhard Laddering Almost at #1 | Road to 100k,"Nov 8, 2022",0,38,16.04,0:00:39,0.768,841,9.1777,3,17261,2.27
OoTgkl9L_rI,They Added Little Cup Random Battles! Can we pull Duraladon?,"Jun 3, 2024",0,180,6.6,0:11:12,2.695,6078,1134.6643,-1,110689,3.45
SpGM8gBzQKA,I'm Playing Pokemon Violet!,,0,8,18.04,0:00:37,0.039,153,1.5944,1,2191,3.88
UQ4JgCK-z1g,1600 to 2000 Elo | Climbing the Pokemon Showdown Ladder,"Apr 18, 2024",0,241,8.4,0:12:37,3.243,6992,1471.6672,5,146336,3.08
UpExhQi1e8I,Using Viewer Rental Teams ft Specs Terapagos,,0,80,8.34,0:06:38,2.4,1570,173.9201,1,35015,2.86
dK3eXvtg_WY,Pokemon Showdown Random Battles,,0,211,5.56,0:06:24,50.762,2819,301.3122,26,61178,3.42
fChqhST_0Rs,Post Worlds Stream | VGC Ladder and PS Random Battles | Q&A,,0,116,7.52,0:09:32,5.458,1959,311.6528,2,76571,1.95
kdLAt9yLWh8,"""Unfortunate Doesn't Begin To Describe..."" Full Speech Only",,0,0,52.06,0:01:08,,2,0.0382,0,0,
pIO1yPElCoQ,Climbing from 1000 to 2000 Elo LIVE on Pokemon Showdown,,0,225,8.12,0:12:46,4.751,5546,1181.5697,1,91684,3.78
vSxbdnxkPws,Smallant Challenged Me to a NEW Escape Room. It was Insane.,,0,0,6.42,0:01:08,,1,0.0191,0,0,
3Q9M5sUthgk,Pokemon Showdown Had This Move Wrong for Years... (Gen 5 Only),"Jul 12, 2022",-1,4072,77.45,0:01:39,0.366,86659,2405.0171,43,548047,11.74
k1D_8pkDwl4,Pokemon Run and Bun and Spamming Fissure vs VGC Ladder Tryhards,,,,,,,,,,1,0
