Content,Video title,Video publish time,Average percentage viewed (%),RPM (USD),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
iqyrSh3iLUU,Samurott the DESTROYER in the NU World Cup of Pokemon | Live Tournament Gameplay,"Aug 19, 2023",58.88,3.641,0:06:23,15082,1605.7843,16,54.9,138439,7.82
XpATrJCQrVc,I Fought a Crazy Weather Strategy in the Little Cup World Cup on Pokemon Showdown,"Dec 23, 2021",51.32,3.656,0:06:17,14993,1570.9867,54,54.819,118862,8.87
p40oxi4Xd44,Climbing the 2300s | Pokemon Showdown Random Battles,"Jul 21, 2023",53.4,3.634,0:11:33,14979,2886.0599,20,54.427,161268,6.29
HSpMIu1A8uQ,EASY STRATEGIES TO PULVERIZE THE LADDER,"Sep 6, 2021",35.07,3.822,0:09:12,14544,2230.1898,55,55.582,183208,4.95
cZpNF-GYq1M,The Most Tense Little Cup World Cup Best of 3 Tiebreaker,"Jan 23, 2022",44.65,1.858,0:06:09,14529,1490.19,48,26.991,154287,6.49
QWLMea8xMsM,I Played in The PU World Cup and Made THE CRAZIEST PLAY OF MY LIFE (India),"Nov 27, 2021",54.66,3.281,0:05:01,14225,1190.0627,63,46.672,131896,7.55
J2DHHzu6X8s,Hail Sweeps in Little Cup? Wynaut!,"Aug 19, 2021",37.65,3.418,0:08:30,14175,2008.9392,49,48.447,160263,6.15
jITrFXjS_gQ,The Most Useless Sticky Web Ever | World Cup of Random Battles Pokemon,"Aug 4, 2022",51.53,4.18,0:10:38,13995,2482.1146,15,58.499,191542,5.12
K4Y27L8cKc0,Training For a $1000 Fakemon Tournament Part 3,"Sep 25, 2022",32.56,5.237,0:09:43,13957,2261.9036,21,73.089,199818,4.9
W_c4gL1vTvc,My First Ever Scarlet Violet Showdown Live!,"Nov 19, 2022",35.62,2.953,0:06:58,13747,1597.9437,37,40.599,98196,10.08
bvLC1xuKhPo,BENNY THE BULL Takes On the Thundurus Suspect Test,"Jan 11, 2022",38.23,3.715,0:09:44,13238,2149.7159,30,49.179,175432,4.89
w3XMintfHSc,4 ICE TYPES 1 TEAM,"Jan 15, 2022",45.24,3.233,0:06:48,12928,1467.183,41,41.795,165994,5.26
Y8GKwu8uCfY,France vs Canada  World Cup of Pokemon Finals | Game 4,"Jul 21, 2022",53.4,3.999,0:07:58,12749,1694.448,25,50.984,146063,6.26
A0-V0lSJwIQ,Will Gengar Get Surprise Banned?,"Jan 24, 2022",32.81,2.922,0:06:23,12690,1351.8492,22,37.081,124889,7.05
8QskQ9JBJUU,The World Cup of Pokemon is Back!,"May 2, 2023",45.52,2.068,0:02:30,12593,525.489,27,26.038,122778,7.41
tyYHaodWvkA,Pokemon Showdown Salty Noob Lucky Kyurem #shorts,"Jun 16, 2021",109.5,0.019,0:00:15,12535,53.3779,15,0.238,117563,4.01
nfAs7Eev_CY,Finchinator Fights the Little Cup Champion LIVE,"Oct 16, 2021",41.33,3.592,0:06:35,12132,1331.6268,27,43.571,126201,6.87
MHBJaWg5hlA,Dragonite is Clutch | Road to Master Rank Singles!,"Dec 10, 2022",33.92,4.772,0:08:43,11910,1732.8159,37,56.831,229566,3.86
fIWNDcQxUcQ,How to EV Little Cup Pokemon | Pokemon Showdown and Smogon,"May 22, 2021",51.7,1.665,0:02:57,11909,588.3442,44,19.829,87258,8.92
bVbxENk2Cqo,Nuzlocking the 1v1 Ladder on Pokemon Showdown,"Sep 23, 2021",40.75,3.492,0:06:14,11613,1209.4032,33,40.554,98152,8.48
vjskV_-2xyc,In The Top 25 | Random Battles to #1:  Pokemon Showdown | Episode 47,"May 8, 2022",45.69,4.488,0:09:34,11547,1843.6669,12,51.819,50958,16.01
Mbu9drjHpVE,DURANT IS BROKEN PLS BANNNNNNNNNNNNNN I HATE BUGS,"Sep 3, 2021",25.42,3.603,0:08:44,11542,1682.813,21,41.583,81934,9.55
LqjTOK0lfks,I Played In The Ubers World Cup on Pokemon Showdown,"Nov 4, 2021",42.19,3.361,0:06:20,11435,1210.1553,33,38.421,148418,5.56
5p4MJDDmtR4,The Weavile vs Dragapult Show! Game 6 World Cup of Pokemon Finals,"Jul 25, 2022",45.53,3.437,0:09:10,11323,1730.0791,15,38.912,133615,6.12
k7nXhFeEYFE,REACHING 2000 ON THE OU LADDER WITH MONO BLACK ON POKEMON SHOWDOWN,"Oct 13, 2021",38.81,3.788,0:07:37,11309,1436.2956,87,42.837,125887,5.93
1SbDN9Y-x3g,Pokemon BDSP OU Teambuilding Guide,"Nov 19, 2021",27.7,4.294,0:05:05,11111,942.1222,51,47.709,114106,6.34
7DkYP7R34zU,I used YOUR TEAMS To Crush the Little Cup Ladder on Pokemon Showdown,"Aug 21, 2021",42.77,3.18,0:07:50,11069,1445.4,43,35.195,113662,6.83
wuWeiyyAPEk,How India Did in Week 1 of the Little Cup World Cup,"Dec 15, 2021",38.52,5.777,0:13:53,11011,2549.2658,24,63.61,184872,3.62
Rjfk_Zb5_jk,France vs Canada Game 5 World Cup of Pokemon Finals,"Jul 23, 2022",49.71,3.887,0:10:18,10937,1878.678,9,42.517,113419,6.86
Y9GYt11j7Gs,The Hawlucha of Little Cup! Grassy Seed Treecko 6-0es the Ladder,"Aug 16, 2021",44.61,2.715,0:07:40,10234,1308.6785,35,27.789,84007,8.44
5QprgiX5bYk,I Analyze The Strongest AI On Pokemon Showdown,"Sep 25, 2021",41.72,2.817,0:04:44,9898,782.3803,16,27.88,77077,6.53
k1eH-9zQjhM,How India Did In Week 5 of the Little Cup World Cup,"Jan 13, 2022",45.86,3.731,0:08:46,9863,1443.6657,20,36.801,119601,5.3
3V1EOx2Ozdc,The Best Little Cup Pokemon After The Vullaby Ban,"Jul 19, 2021",41.07,1.859,0:04:35,9795,750.8848,54,18.211,92561,7.32
Q3EKipEr4Oo,Using My 3 Best Teams To Reach Top 1000 in VGC,"Mar 28, 2023",27.3,5.495,0:10:35,9683,1710.1805,18,53.211,135765,4.77
JStlOqLJnWY,Pokemon Showdown: Uncovering the Secret to the OU Ladder,"Sep 8, 2021",39.18,3.209,0:06:25,9113,974.969,29,29.235,106880,5.71
RtMs3x7t3JI,Pokemon BDSP OU: Gardevoir Offense,"Nov 25, 2021",28.16,3.806,0:05:17,9087,800.4027,32,34.589,208743,3.03
7kvzmq8N01Q,Bodybagging the Ladder with SPECS BLACEPHALON,"Sep 11, 2021",38.38,3.461,0:09:55,8642,1429.8681,22,29.91,101947,5.44
6-UVhRzo3KI,The Top 300 is ICY HOT,"Sep 14, 2021",41.61,3.924,0:08:38,8597,1239.2425,32,33.735,129278,4.15
2BFK8HXhm_Q,BDSP OU's First BANS on Pokemon Showdown...,"Nov 17, 2021",58.69,1.964,0:01:04,8328,149.3426,21,16.353,74797,7.72
q_VkFxq8GGs,Pokemon Showdown Teambuilding in Little Cup Guide,"Apr 2, 2021",28.07,1.108,0:03:43,8108,502.6212,68,8.984,67330,7.54
Q1lJccbAWJA,Using Cynthia's Team on OU High Ladder on Pokemon Showdown,"Oct 15, 2021",38.1,3.682,0:07:13,7986,961.0599,13,29.398,85496,6.4
ZX8pbUxJqes,Pokemon BDSP OU: Screens Hyper Offense!,"Nov 23, 2021",41.34,3.763,0:05:59,7851,783.4273,30,29.541,100591,5.14
t7h_kTzsjo4,Pokemon BDSP OU: VICTREEBEL SUN,"Nov 21, 2021",30.1,4.896,0:06:45,7818,879.8237,33,38.275,86303,6.11
JzFpylRXU7k,Pokemon BDSP OU: The Gengar MENACE!,"Nov 22, 2021",26.4,4.681,0:06:26,7649,820.669,32,35.806,73481,6.83
WoxFoZf8Azg,SCL: Two Best Little Cup Players Fight on Pokemon Showdown,"Oct 23, 2021",39.26,4.56,0:08:24,7634,1069.7668,22,34.811,98074,5.2
7q9EsBs5m2g,The Rare Double Dragon Dance Duel in the Little Cup World Cup,"Jan 10, 2022",56.79,2.667,0:05:31,7615,701.5172,21,20.306,58862,8.77
p6LTf5P3V3w,RANDBATS TO THE TOP COMES BACK TOMMOROW,"Apr 1, 2022",84.56,1.088,0:00:29,7612,62.5787,9,8.279,66857,7.47
NvpDPunZFMI,How India Did in Week 2 of the Little Cup World Cup,"Dec 22, 2021",45.65,5.113,0:11:48,7382,1451.892,8,37.746,90872,4.91
Jb-quM3B9CI,Pokemon BDSP OU Day 2: DRIZZLE IS BANNED,"Nov 21, 2021",57.57,1.751,0:00:58,7150,116.6183,52,12.522,71575,6.32
Wy2zTedgEXo,What If Ubers Was a Normal Tier?,"Oct 3, 2021",49.6,2.269,0:03:59,7096,472.2148,12,16.1,45478,10.61
9sDA5oUmZmE,CRACKING 1800 with IRON DEFENSE Tapu Lele,"Sep 16, 2021",39.69,3.549,0:07:26,6881,853.5383,21,24.42,68274,6.61
l7UtcHdOKmk,(2100+) Crushing High Ladder SALTY NOOBS on Pokemon Showdown,"Aug 20, 2021",42.39,3.739,0:08:55,6841,1017.4071,21,25.576,77864,5.76
PYxFfH6r4Z4,Unlucky Pokemon Showdown Salty Smogon Noob (me) #shorts,"Jun 5, 2021",142.49,0.029,0:00:14,6807,26.9422,2,0.195,78267,3.98
1CGH9l9F0HM,Banded F****** Thwackey! ZU Ladder Live on Pokemon Showdown,"Aug 8, 2021",33.76,1.886,0:05:31,6561,603.5262,26,12.374,58754,7.79
0dzb6J6EpEg,Why Zigzagoon is Dominating the Champion's League on Pokemon Showdown,"Oct 11, 2021",54.67,1.507,0:04:28,6365,475.5469,17,9.589,50852,8.27
6wuygNALTEI,So Pokemon BDSP RU Was Just Released...,"Jan 3, 2022",31.64,3.908,0:08:32,6333,901.1676,11,24.751,58974,7.26
kdDYjRblRNc,Use This Easy Strategy to WIN OU Games,"Sep 9, 2021",40.94,3.441,0:06:55,6318,729.3577,19,21.735,68969,5.49
TSHyLm1yP2c,Never Forget About Pressure on Weavile (PP stall),"Sep 12, 2021",50.24,3.034,0:05:33,6142,569.1712,17,18.633,47747,8.24
qHIzOXWMdxk,Rindo Berry Trapinch LURES The Little Cup Ladder!,"Aug 27, 2021",40.61,3.847,0:10:27,6081,1060.4597,14,23.394,53880,7.16
0RbGrhJaJ7M,The New UU Killer: Magneton Sand on Pokemon Showdown,"Oct 14, 2021",35.26,4.075,0:07:48,5994,780.8659,17,24.423,69019,5.92
LzDIM3TUbqI,Zigzagoon TERRORIZES The Little Cup Ladder on Pokemon Showdown!,"Aug 7, 2021",40.73,1.998,0:08:26,5950,837.4031,31,11.888,53636,7.33
S9_RRHk8CrE,How India Did in Week 4 of the Little Cup World Cup,"Jan 8, 2022",46.17,3.639,0:08:09,5776,785.266,8,21.02,67957,5.25
tRtm_kil-hs,Training for my NU Debut,"Nov 5, 2021",31.64,4.791,0:09:01,5657,850.7423,11,27.104,62022,6.11
xahCdU5eJhg,I Used Tanga Berry Grookey in the Little Cup World Cup on Pokemon Showdown,"Dec 31, 2021",46.78,3.822,0:06:40,5485,610.8282,13,20.966,54648,6.9
4OQBwIPkl8k,I beat Finchinator in 14 turns. With a Vivillon.,"Mar 12, 2021",74.92,0.402,0:01:02,5443,94.0156,39,2.189,23579,12.22
xMGdiAtKKV0,I Used SPEED BOOST DEOXYS in the Ubers World Cup,"Nov 6, 2021",48.11,3.074,0:06:04,5284,535.2959,9,16.238,48908,7.35
VW7-kF0DT0g,The Sigma Male of OU on Pokemon Showdown,"Sep 10, 2021",44.29,3.531,0:06:46,5191,585.6698,42,18.33,47200,6.91
n483lVMkGlo,Pokemon BDSP OU: ROSERADE BALANCE,"Nov 20, 2021",29.02,4.637,0:05:49,5155,500.3364,19,23.899,46133,7.33
tHyltRBswsM,POKEMON SHOWDOWN RANDOM BATTLES: ITS DYNAMAX TIME,"Jan 19, 2022",38.06,3.765,0:08:09,5126,696.8805,6,19.297,88322,3.83
VwVrVDJluX0,Pokemon BDSP OU: BLAZIKEN OFFENSE!,"Nov 20, 2021",26.92,3.166,0:06:50,5117,583.1243,21,16.2,51597,6.59
 -CZBYIyrqbA,Pokemon BDSP OU: I used Choice Specs Yanmega...,"Nov 24, 2021",43.45,4.032,0:06:23,5053,537.8778,17,20.364,87903,3.89
2n6_iasUd_U,Pokemon BDSP OU: DRAGON SPAM,"Nov 22, 2021",33.63,4.79,0:07:35,5000,632.5023,9,23.951,54238,6.12
1LcPHvh6toA,This Tier Wants to BAN ALL SLEEP MOVES,"Sep 30, 2021",42.37,2.983,0:06:31,4924,536.0847,3,14.686,43474,7.43
ADF4LReHSVs,I Used CHOICE BAND FURRET in my BDSP OU LadderLocke,"Dec 25, 2021",43.84,4.941,0:09:41,4830,779.8908,14,23.866,60593,5.14
03NhSEMpJFo,Watching a Smogon Premier League Game (SM OU),"Jan 28, 2022",28.09,2.113,0:05:42,4782,454.8447,30,10.105,117638,2.73
5IN9U7POoVc,Dracovish? Arctozolt? What? All We Need is ARCTOVISH on Pokemon Showdown,"Oct 16, 2021",44.49,4.024,0:07:51,4760,624.088,9,19.144,57515,5.57
W-g13t14o08,How India Did in Week 3 of the Little Cup World Cup,"Jan 2, 2022",56.85,3.368,0:07:38,4720,600.7586,7,15.895,50944,5.52
1tUAYfm56qE,How To Learn A Tier on Pokemon Showdown,"Nov 3, 2021",48.37,3.015,0:04:19,4550,327.6863,27,13.717,48219,5.58
vWQ8pxKu2eA,The Pokemon Showdown OU Ladder Nuzlocke Takes a DEADLY Turn...,"Nov 4, 2021",35.23,3.794,0:07:43,4511,580.5028,9,17.116,54276,5.57
XCmXOXsjRbw,CRACKING 1850 on the OU Ladder on Pokemon Showdown,"Sep 18, 2021",46.85,2.884,0:05:34,4505,418.0217,14,12.991,68172,4.39
ftiv1kvntAc,Stepbrother... I'm stuck in the 1700s,"Sep 15, 2021",36.43,4.025,0:07:36,4440,562.9667,9,17.872,48226,5.95
xg6473iPiv4,Pokemon BDSP Monotype: MONODRAGON is UNSTOPPABLE,"Dec 5, 2021",35.45,5.279,0:06:38,4372,484.2929,8,23.075,43177,6.6
GacK5E65xXQ,Ring Target Hyper Offense on the OU Ladder,"Oct 4, 2021",44.31,3.699,0:07:55,4340,572.6861,7,16.055,42569,6.93
UxCmA7WB5ns,Only 2000's Kids Will Like This Pokemon Showdown TIer,"Oct 30, 2021",37.86,4.489,0:10:16,4324,740.8479,10,19.409,50745,4.93
m8UktKHjG00,Please Ban Scraggy. PLEASE.,"Jul 31, 2021",44.35,1.21,0:04:58,4308,357.151,17,5.213,28109,10.64
-7o5vl_uFAw,Pokemon BDSP Random Battles are Literally Broken on Pokemon Showdown,"Nov 24, 2021",36.35,3.484,0:05:26,4285,388.097,5,14.93,95161,3.03
i-oVA0-zGgE,I Created Manual Sun in Gen 6 RU...,"Jan 9, 2022",42.38,3.326,0:06:55,4224,487.3519,6,14.047,42342,6.63
yBcZm_mKU_4,The Best Tapu Fini War Of All Time,"Sep 26, 2021",40.87,3.193,0:06:58,4183,486.7502,19,13.356,40864,6.85
yyzxD0wixjw,I Used SAND In My NU Debut on Pokemon Showdown,"Nov 11, 2021",56.15,3.711,0:06:03,4170,420.7914,10,15.475,44430,6.29
gC_WCtZWdpM,Pokemon BDSP OU Update Day 4: Gliscor is Back!,"Nov 23, 2021",47.44,1.894,0:01:20,4146,92.3333,25,7.854,37616,6.86
f0khao_wWyk,Pokemon BDSP OU Day 7:  BLAZIKEN IS BANNED,"Nov 26, 2021",57.8,2.202,0:01:17,4088,87.9579,22,9.002,31381,9
w5wVgeTfS5U,Choice Band Leech Seed Shaymin?!,"Sep 2, 2021",58.79,3.003,0:06:26,4084,438.2046,4,12.266,30913,8.93
iO1QUr6rdg4,Pokemon BDSP UBERS IS NOW PLAYABLE ON POKEMON SHOWDOWN,"Nov 26, 2021",27.9,4.415,0:06:14,3830,398.583,14,16.91,43118,5.84
IiOGl1q7KuA,Sharpedo Kangaskhan Offense to Top 10! Pokemon Showdown,"Jan 8, 2022",35.33,3.654,0:08:04,3807,512.2359,8,13.907,79934,3.23
m2_es7amhb8,Why Do They Want To Ban Thundurus in UU on Pokemon Showdown?,"Aug 23, 2021",62.25,1.652,0:02:22,3791,150.1276,14,6.262,26485,9.59
UgIvPik9kRk,The Biggest LOSERS of the Vullaby Ban,"Jul 21, 2021",50.36,1.545,0:04:04,3781,257.0312,12,5.842,32317,7.93
ZDcxKfQPZI4,I PP Stalled Brazil in the Little Cup World Cup,"Dec 7, 2021",51.73,3.698,0:04:50,3772,304.061,5,13.95,33595,7.24
_13d5hdZFWc,The Star Of Little Cup Premier League,"Jul 11, 2021",59.09,1.831,0:04:36,3759,288.7475,9,6.884,32528,7.81
AoGGr5s48hk,THIS MAGNEMITE SET MADE ME BELIEVE IN GOD,"Nov 14, 2021",53.4,2.593,0:04:02,3741,251.9501,0,9.701,30633,7.99
4OetEqn-m7g,Pokemon BDSP OU Day 6 Update: Our New Hero,"Nov 25, 2021",66.62,1.572,0:00:43,3704,44.5529,11,5.822,95396,2.72
pJq0rSa1OmM,HUNTAIL IS A GOD Pokemon Showdown HO to Top Ten - Episode 3 : BDSP OU w/ Freezai & Blimax,"Jan 21, 2022",22.96,2.703,0:06:40,3695,411.0716,22,9.986,52568,4.84
XXgafkZATA8,Pokemon BDSP OU: Lucario Offense!,"Dec 5, 2021",38.61,5.291,0:09:13,3676,565.0152,7,19.449,48243,4.81
uvewD57iMTI,Triple Psychic Spam: The Champion's League Adapts to Mienfoo,"Oct 19, 2021",58.37,2.861,0:05:12,3661,317.5858,11,10.473,40860,5.6
9jXqRlikc7E,Pokemon BDSP Monotype: Mono Poison is so toxic...,"Dec 8, 2021",45.76,3.54,0:06:03,3636,366.9566,4,12.871,37814,6.11
koM2vCuMfOA,An Update.,"Jan 27, 2022",76.71,0.933,0:00:31,3610,31.5404,39,3.367,51873,4.56
5nOE5CYW_sg,Your Guide to the Mienshao Suspect,"Jul 27, 2021",51.83,0.994,0:02:10,3568,129.4509,14,3.547,32389,7.87
D__Q5aYaCrc,The BDSP OU Ladderlocke DESTROYER Is Staring at Me...,"Jan 4, 2022",39.88,3.003,0:06:12,3544,367.1228,3,10.643,38122,6.21
_SCIxiOowC0,🚧 REACHING TOP 500  🚧 Ice Spam Special on Pokemon Showdown,"Sep 13, 2021",50.03,3.956,0:08:04,3542,476.4543,13,14.012,36486,5.39
1_U0sLrL1Mo,Vullaby Banned = Ez Scraggy Tournament Sweep,"Jul 18, 2021",54.62,1.571,0:05:47,3472,335.5838,11,5.454,35930,6.44
B8Y1t_Xc0To,PLEASE DON'T CRIT,"Nov 1, 2021",34.91,4.448,0:07:49,3450,449.6508,11,15.345,54074,4.04
5MEpNEhzLqs,The New King of HUSTLE: Deino on Pokemon Showdown,"Sep 5, 2021",35.01,3.493,0:07:51,3436,450.1087,7,12.003,34344,6.81
U0SBRwvQItE,COLLAB WITH BLIMAX: Road To Top 10: Hyper Offense ONLY,"Jan 12, 2022",20.08,2.611,0:07:05,3415,403.4443,14,8.915,36160,5.64
7CK6NB2KdWw,Tyrunt Makes Its Champion's League Debut!,"Oct 21, 2021",58.23,2.643,0:04:26,3340,246.8788,8,8.828,35187,6.27
QT_HjzzfgWI,Creative Little Cup Core Domination,"Apr 25, 2021",40.07,0.449,0:06:59,3311,385.5171,16,1.487,32910,6.63
jacIE23X0wY,Attempting the OU World Record Speedrun on Pokemon Showdown!,"Sep 20, 2021",35.29,2.324,0:04:11,3306,231.3632,9,7.683,35649,6.05
jtLesQneB0U,This Game Changed Little Cup Forever,"Mar 22, 2021",47.49,1.087,0:02:14,3298,123.1096,17,3.584,21285,8.96
D4as0OtLXX0,4 Player Pokemon Showdown is INSANE,"Sep 28, 2021",26.82,1.912,0:02:22,3287,129.7678,3,6.276,22613,8.49
EUez6ZlVzBk,"TOGETHER, We Can Save Zigzagoon","Nov 19, 2021",33.24,4.171,0:07:42,3197,410.3342,3,13.336,28503,7.43
NN4-e8FcV4I,To Ban or Not to Ban... THAT is the Question...,"Oct 18, 2021",40.86,4.116,0:08:22,3194,445.9078,9,13.145,34202,6.11
Gg080hvl5EU,Shell Smash Dwebble CRUSHES Little Cup,"Aug 29, 2021",57.79,3.172,0:05:40,3173,300.5277,10,10.064,29694,7.27
bRNpsKFbEdk,Pokemon BDSP Monotype: Top 15 with MONO PSYCHIC,"Dec 7, 2021",43.85,4.977,0:08:11,3172,433.137,7,15.788,35912,5.48
BT9mQh2k_00,EXPLOUDING OU HIGH LADDER on Pokemon Showdown,"Oct 12, 2021",45.82,4.723,0:08:28,3151,444.7955,5,14.882,44232,4.7
_J49NjtCFvM,Nuzlocking the OU Ladder With a Pikachu,"Oct 31, 2021",44.98,4.067,0:08:26,3148,442.7316,16,12.803,35179,4.99
VecFdPipaJw,Triple Psychic Spam Offense in BDSP OU on Pokemon Showdown,"Jan 1, 2022",42.97,3.581,0:07:20,3088,378.176,6,11.058,39824,5.19
iQVZ6Dw5DMw,Pokemon Showdown 1v1 Nuzlocke: I KEEP LOSING POKEMON,"Sep 24, 2021",40.99,3.406,0:07:26,3085,382.8344,11,10.506,35603,5.95
BqUJHx6An7c,Playing Pokemon BDSP OU Bingo on Pokemon Showdown,"Dec 14, 2021",42.7,4.922,0:09:59,3060,509.2634,6,15.06,32818,6.03
3c672TMF5b4,Pokemon BDSP OU Day 8 Update:  The Blaziken Replacements,"Nov 27, 2021",58.64,1.911,0:01:15,3059,64.2736,14,5.847,29805,6.85
gKu3T9uhkws,Undefeated on OU High Ladder with Mono Black and Specs Salamence on Pokemon Showdown,"Oct 9, 2021",39.57,1.607,0:09:15,3037,468.4032,7,4.879,40359,4.62
l7Vp3HQCqFM,Pokemon Showdown: NEVER Underestimate Zigzagoon,"Oct 3, 2021",62.59,1.937,0:04:05,3014,205.3995,7,5.838,29892,6.56
IIg12Jcxigw,Pokemon BDSP OU Day 1: Skill Swap Manaphy is Meta,"Nov 20, 2021",60.81,1.706,0:01:09,2941,57.132,26,5.016,37045,5.36
xDH_UZqtZdY,NEVER FORGET ABOUT BLASTOISE,"Dec 4, 2021",44.98,5.039,0:06:35,2895,318.3088,3,14.583,31789,5.82
Q2F6dzsAl6s,Pokemon BDSP OU Day 5 Update: Is Magnet Pull Overpowered?,"Nov 24, 2021",63.4,1.696,0:01:00,2824,47.7459,14,4.789,47986,3.94
7NKc5qn99yo,16 - 0 OU Ladder Nuzlocke,"Dec 16, 2021",42.35,2.765,0:03:24,2820,159.9038,6,7.797,29040,6.57
hv_ph4LRg1U,Pokemon Showdown and Brilliant Diamond and Shining Pearl Announcement!,"Nov 13, 2021",60.92,1.798,0:00:57,2758,44.3407,5,4.96,24910,7.18
N4M5mPMYOyM,The Great NU Duraldon WAR,"Dec 8, 2021",49.92,3.744,0:07:21,2753,337.8619,3,10.306,29845,5.96
UVnPHTjqSwo,Kingler. Vaporeon. Cursola. OU. Ladder. Destroyed.,"Oct 5, 2021",44.09,3.82,0:08:31,2742,389.5765,10,10.47,28228,6.25
atYxjDUPdoc,The Craziest Champion's League Team Yet...,"Oct 25, 2021",58.4,2.95,0:04:42,2725,213.9481,7,8.038,30485,5.93
49FITrtpjQI,MUST. LADDER. UU. MUST. BAN. THUNDURUS.,"Aug 26, 2021",39.42,5.592,0:13:03,2723,592.7199,6,15.226,25584,6.29
IKJCA4za6aU,Future Sight + Guzzlord Will Be Your New Favorite Core,"Jan 5, 2022",50.88,3.378,0:06:46,2666,300.6682,5,9.006,27219,6.27
8genaof8Qbg,"Zigzagoon, I Declare You: VIABLE","Aug 2, 2021",52.77,0.939,0:05:09,2587,222.616,14,2.428,21955,7.64
WDVO7gnW8xM,Sweep in 8 Turns or Your Money Back,"Dec 11, 2021",52.48,3.837,0:05:19,2570,227.7998,4,9.862,25135,6.5
QdLyzd7zOZQ,Pokemon Showdown Tier Shifts: UU Gets 6 NEW POKEMON!,"Oct 2, 2021",43.51,2.733,0:04:19,2543,183.1618,11,6.95,23893,7.12
7R-AWF7k_Lk,The Luckiest OU Team Structure on Pokemon Showdown! Tournament Replay,"Jul 12, 2021",56.73,1.076,0:03:57,2534,167.3129,9,2.726,25237,6.89
p_L5JlCPYBU,Final Moment of World Cup of Pokemon Smogon (Trigger Warning: HAX),"Jul 19, 2021",65.85,0.718,0:01:27,2501,60.8456,9,1.795,18460,9.44
dq5gqmVTOUo,I Used Vullaby And THIS Happened...,"Jul 16, 2021",58.26,0.967,0:05:27,2489,226.3658,3,2.407,18102,8.92
HXkFSiOEZzw,The Jirachi Smogon Doubles Controversy,"Jul 10, 2021",74.05,0.374,0:02:08,2415,86.4389,21,0.904,12111,7.85
bzGdsTdstFA,The Shocking End To the OU LadderLocke,"Dec 25, 2021",52.41,2.13,0:02:34,2389,102.2514,4,5.088,24895,6.36
mcolwlARB_Q,This CRAZY Metagross Set Owned Me On The VERY LAST TURN | Smogon RUPL Week 5 | Serene Grace vs Umbry,"Mar 29, 2021",26.31,0.135,0:02:54,2351,114.0944,14,0.318,11973,5.22
AkrYCqkuwXc,This New Scraggy Set is... wow.,"Aug 22, 2021",58.17,2.399,0:05:31,2344,215.5214,16,5.624,20583,7.63
bDR-rRHn2ck,You Won't Believe This Battle of The Birds on Pokemon Showdown,"Oct 25, 2021",52.94,3.514,0:05:27,2339,212.5725,3,8.22,34200,4.42
 -sTGYs9trF8,Pokemon BDSPOU: DRAGON SPAM w Chesto Rest Manaphy,"Jan 20, 2022",45.96,3.336,0:07:40,2271,290.503,4,7.575,43144,3.51
QJnUHNcdEE0,I Lost HALF MY TEAM In The OU LADDER NUZLOCKE,"Dec 24, 2021",35.29,4.82,0:07:44,2239,289.0266,0,10.791,33509,4.49
xRhGu1SNSRw,Guys... I think Celebi might be broken...  India UU World Cup Game 1,"Aug 7, 2021",58.11,1.216,0:05:19,2207,195.9236,8,2.684,21049,6.89
XZxaGEpV16s,Destroying the OU Ladder except its Permadeath,"Nov 12, 2021",40.45,4.656,0:08:13,2187,299.5324,10,10.183,25392,5.3
NtyyMyM3ekU,"Scraggy, it is the beginning of the end for you.","Aug 17, 2021",45.77,1.357,0:03:48,2171,138.0195,5,2.945,20738,6.91
0IXnRX6t-6I,I Delete All My Vullaby Teams on Pokemon Showdown,"Jul 13, 2021",23.76,,0:01:04,2166,38.7416,6,,15081,7.13
YNVb0YJQjfU,PLEASE BAN SCRAGGY SDJLSFDKAJLSAFLJDJIO,"Aug 8, 2021",50.58,1.149,0:04:11,2153,150.3392,12,2.473,16055,8.13
FayUq_xcEVE,Pokemon Showdown: Use This Cramorant Set  (1700+),"Oct 6, 2021",32.2,4.571,0:07:47,2131,276.9607,2,9.74,23766,5.85
sgEewypZzYU,Pokemon Showdown Nuzlocke Challenge Continues!,"Nov 8, 2021",36.72,4.787,0:07:21,2128,261.0964,10,10.181,26069,5.53
9zJlygMqS-M,"Live by the Sun, DIE BY THE SUN","Nov 1, 2021",56.2,1.701,0:03:12,2107,112.8167,1,3.584,22095,6.26
C0HQN-WpV_E,This Clever Trapper Strategy Won Me an SPL Game | SPL Week 7 Analysis | Serene Grace vs Garay Oak,"Mar 19, 2021",32.77,0.246,0:02:23,2047,81.4365,36,0.504,11713,5.56
PyLt8rMMqQc,Finding the Best Little Cup Pokemon with the Metagame Survey,"Aug 28, 2021",56.68,2.089,0:03:42,2034,125.5354,2,4.25,27181,5.17
z0crkzcHHJA,How OU Misplayed The King's Rock Vote,"Jul 3, 2021",58.95,0.459,0:02:51,2031,96.7734,13,0.933,11309,11.93
1e3weY6fsFY,(OLD)Nuzlocking the OU Ladder on Pokemon Showdown! Episode 1,"May 25, 2021",24.45,1.15,0:07:55,2022,267.3264,4,2.325,16937,8.07
_CUHuxqldmg,"Pokemon BDSP OU Update Day 16: Scizor, the NEW KING OF OU","Dec 5, 2021",57.08,2.073,0:01:13,1956,40.006,3,4.055,20795,6.21
